algorithm,n,b,runtime,scheduler,Blocks
potrf,16800,480,starpu,lws,.1
geqrf,28800,480,starpu,ws,.1
potrf,7200,480,starpu,ws,.1
geqrf,14400,480,starpu,lws,.1
geqrf,19200,480,starpu,lws,.1
geqrf,26400,480,starpu,ws,.1
potrf,28800,480,starpu,ws,.1
potrf,12000,480,starpu,lws,.1
geqrf,7200,480,starpu,ws,.1
potrf,21600,480,starpu,ws,.1
geqrf,12000,480,starpu,lws,.1
geqrf,2400,480,starpu,ws,.1
potrf,4800,480,starpu,lws,.1
potrf,9600,480,starpu,ws,.1
geqrf,9600,480,starpu,lws,.1
potrf,19200,480,starpu,lws,.1
potrf,4800,480,starpu,ws,.1
potrf,24000,480,starpu,lws,.1
potrf,7200,480,starpu,lws,.1
geqrf,4800,480,starpu,lws,.1
potrf,19200,480,starpu,ws,.2
geqrf,28800,480,starpu,lws,.2
geqrf,19200,480,starpu,ws,.2
potrf,14400,480,starpu,ws,.2
potrf,24000,480,starpu,ws,.2
potrf,2400,480,starpu,lws,.2
potrf,7200,480,starpu,ws,.2
geqrf,26400,480,starpu,lws,.2
geqrf,4800,480,starpu,ws,.2
potrf,16800,480,starpu,ws,.2
geqrf,26400,480,starpu,ws,.2
geqrf,24000,480,starpu,ws,.2
potrf,9600,480,starpu,lws,.2
geqrf,24000,480,starpu,lws,.2
geqrf,19200,480,starpu,lws,.2
potrf,24000,480,starpu,lws,.2
geqrf,14400,480,starpu,ws,.2
geqrf,2400,480,starpu,lws,.2
geqrf,28800,480,starpu,ws,.2
potrf,21600,480,starpu,ws,.2
potrf,16800,480,starpu,lws,.2
geqrf,2400,480,starpu,ws,.2
geqrf,12000,480,starpu,ws,.2
potrf,21600,480,starpu,lws,.2
potrf,14400,480,starpu,lws,.2
potrf,9600,480,starpu,ws,.2
potrf,26400,480,starpu,ws,.2
potrf,28800,480,starpu,ws,.2
potrf,12000,480,starpu,lws,.2
geqrf,12000,480,starpu,lws,.2
potrf,19200,480,starpu,lws,.2
geqrf,9600,480,starpu,ws,.2
potrf,7200,480,starpu,lws,.2
geqrf,14400,480,starpu,lws,.2
geqrf,16800,480,starpu,lws,.2
geqrf,16800,480,starpu,ws,.2
geqrf,7200,480,starpu,lws,.2
potrf,4800,480,starpu,lws,.2
potrf,4800,480,starpu,ws,.2
geqrf,21600,480,starpu,ws,.2
geqrf,7200,480,starpu,ws,.2
geqrf,21600,480,starpu,lws,.2
geqrf,9600,480,starpu,lws,.2
geqrf,4800,480,starpu,lws,.2
potrf,2400,480,starpu,ws,.2
potrf,12000,480,starpu,ws,.2
potrf,28800,480,starpu,lws,.2
potrf,26400,480,starpu,lws,.2
geqrf,7200,480,starpu,ws,.3
geqrf,2400,480,starpu,lws,.3
geqrf,14400,480,starpu,ws,.3
geqrf,19200,480,starpu,ws,.3
potrf,16800,480,starpu,ws,.3
potrf,4800,480,starpu,ws,.3
potrf,21600,480,starpu,ws,.3
potrf,19200,480,starpu,lws,.3
geqrf,16800,480,starpu,ws,.3
geqrf,7200,480,starpu,lws,.3
geqrf,4800,480,starpu,lws,.3
potrf,14400,480,starpu,ws,.3
potrf,2400,480,starpu,ws,.3
potrf,9600,480,starpu,ws,.3
geqrf,4800,480,starpu,ws,.3
geqrf,24000,480,starpu,lws,.3
potrf,7200,480,starpu,ws,.3
geqrf,21600,480,starpu,ws,.3
potrf,2400,480,starpu,lws,.3
geqrf,16800,480,starpu,lws,.3
geqrf,14400,480,starpu,lws,.3
geqrf,19200,480,starpu,lws,.3
geqrf,24000,480,starpu,ws,.3
geqrf,12000,480,starpu,lws,.3
geqrf,12000,480,starpu,ws,.3
geqrf,2400,480,starpu,ws,.3
potrf,12000,480,starpu,ws,.3
geqrf,26400,480,starpu,lws,.3
geqrf,28800,480,starpu,lws,.3
potrf,21600,480,starpu,lws,.3
geqrf,21600,480,starpu,lws,.3
geqrf,28800,480,starpu,ws,.3
geqrf,9600,480,starpu,ws,.3
geqrf,9600,480,starpu,lws,.3
potrf,9600,480,starpu,lws,.3
potrf,12000,480,starpu,lws,.3
potrf,7200,480,starpu,lws,.3
potrf,14400,480,starpu,lws,.3
potrf,24000,480,starpu,ws,.3
potrf,4800,480,starpu,lws,.3
potrf,26400,480,starpu,lws,.3
potrf,24000,480,starpu,lws,.3
potrf,26400,480,starpu,ws,.3
potrf,16800,480,starpu,lws,.3
potrf,28800,480,starpu,ws,.3
geqrf,26400,480,starpu,ws,.3
potrf,28800,480,starpu,lws,.3
potrf,19200,480,starpu,ws,.3
geqrf,12000,480,starpu,ws,.4
potrf,14400,480,starpu,ws,.4
potrf,19200,480,starpu,ws,.4
potrf,12000,480,starpu,ws,.4
potrf,14400,480,starpu,lws,.4
potrf,16800,480,starpu,lws,.4
geqrf,19200,480,starpu,ws,.4
potrf,2400,480,starpu,ws,.4
geqrf,16800,480,starpu,ws,.4
potrf,26400,480,starpu,ws,.4
geqrf,26400,480,starpu,lws,.4
potrf,4800,480,starpu,lws,.4
potrf,24000,480,starpu,lws,.4
geqrf,4800,480,starpu,lws,.4
potrf,2400,480,starpu,lws,.4
potrf,7200,480,starpu,lws,.4
geqrf,21600,480,starpu,ws,.4
geqrf,24000,480,starpu,ws,.4
potrf,28800,480,starpu,lws,.4
potrf,7200,480,starpu,ws,.4
geqrf,14400,480,starpu,ws,.4
potrf,12000,480,starpu,lws,.4
geqrf,24000,480,starpu,lws,.4
potrf,21600,480,starpu,ws,.4
geqrf,26400,480,starpu,ws,.4
geqrf,21600,480,starpu,lws,.4
potrf,4800,480,starpu,ws,.4
geqrf,9600,480,starpu,ws,.4
potrf,9600,480,starpu,ws,.4
potrf,21600,480,starpu,lws,.4
potrf,26400,480,starpu,lws,.4
potrf,16800,480,starpu,ws,.4
potrf,19200,480,starpu,lws,.4
potrf,24000,480,starpu,ws,.4
geqrf,4800,480,starpu,ws,.4
geqrf,28800,480,starpu,lws,.4
geqrf,16800,480,starpu,lws,.4
potrf,9600,480,starpu,lws,.4
geqrf,7200,480,starpu,ws,.4
geqrf,7200,480,starpu,lws,.4
geqrf,2400,480,starpu,lws,.4
geqrf,28800,480,starpu,ws,.4
geqrf,19200,480,starpu,lws,.4
geqrf,12000,480,starpu,lws,.4
geqrf,9600,480,starpu,lws,.4
geqrf,14400,480,starpu,lws,.4
potrf,28800,480,starpu,ws,.4
geqrf,2400,480,starpu,ws,.4
geqrf,24000,480,starpu,lws,.5
potrf,7200,480,starpu,ws,.5
geqrf,2400,480,starpu,lws,.5
potrf,2400,480,starpu,lws,.5
geqrf,19200,480,starpu,ws,.5
potrf,16800,480,starpu,lws,.5
potrf,2400,480,starpu,ws,.5
geqrf,4800,480,starpu,lws,.5
geqrf,21600,480,starpu,ws,.5
potrf,7200,480,starpu,lws,.5
geqrf,16800,480,starpu,ws,.5
geqrf,9600,480,starpu,lws,.5
geqrf,28800,480,starpu,ws,.5
potrf,28800,480,starpu,ws,.5
geqrf,26400,480,starpu,ws,.5
potrf,14400,480,starpu,lws,.5
geqrf,14400,480,starpu,lws,.5
potrf,4800,480,starpu,lws,.5
geqrf,2400,480,starpu,ws,.5
geqrf,16800,480,starpu,lws,.5
potrf,9600,480,starpu,ws,.5
geqrf,12000,480,starpu,ws,.5
geqrf,7200,480,starpu,ws,.5
potrf,26400,480,starpu,ws,.5
potrf,9600,480,starpu,lws,.5
potrf,4800,480,starpu,ws,.5
potrf,24000,480,starpu,ws,.5
potrf,12000,480,starpu,lws,.5
geqrf,26400,480,starpu,lws,.5
geqrf,7200,480,starpu,lws,.5
geqrf,12000,480,starpu,lws,.5
potrf,21600,480,starpu,ws,.5
potrf,21600,480,starpu,lws,.5
geqrf,9600,480,starpu,ws,.5
potrf,19200,480,starpu,lws,.5
potrf,28800,480,starpu,lws,.5
potrf,16800,480,starpu,ws,.5
potrf,24000,480,starpu,lws,.5
potrf,19200,480,starpu,ws,.5
potrf,14400,480,starpu,ws,.5
geqrf,24000,480,starpu,ws,.5
geqrf,28800,480,starpu,lws,.5
geqrf,21600,480,starpu,lws,.5
potrf,12000,480,starpu,ws,.5
geqrf,14400,480,starpu,ws,.5
potrf,26400,480,starpu,lws,.5
geqrf,19200,480,starpu,lws,.5
geqrf,4800,480,starpu,ws,.5
