algorithm,n,b,runtime,scheduler,Blocks
dpotrf,14400,480,starpu,lws,.1
dpotrf,21600,480,starpu,lws,.1
dgeqrf,14400,480,starpu,ws,.1
dpotrf,16800,480,starpu,lws,.1
dgeqrf,19200,480,parsec,lfq,.1
dpotrf,14400,480,parsec,gd,.1
dpotrf,24000,480,parsec,gd,.1
dgeqrf,28800,480,starpu,ws,.1
dgeqrf,28800,480,parsec,gd,.1
dpotrf,21600,480,parsec,gd,.1
dpotrf,7200,480,starpu,ws,.1
dgeqrf,7200,480,parsec,gd,.1
dpotrf,2400,480,parsec,lfq,.1
dgeqrf,14400,480,starpu,lws,.1
dgeqrf,19200,480,starpu,lws,.1
dgeqrf,26400,480,starpu,ws,.1
dpotrf,26400,480,parsec,lfq,.1
dgeqrf,16800,480,parsec,gd,.1
dpotrf,12000,480,parsec,lfq,.1
dpotrf,28800,480,starpu,ws,.1
dpotrf,12000,480,starpu,lws,.1
dgeqrf,7200,480,starpu,ws,.1
dpotrf,7200,480,parsec,gd,.1
dpotrf,21600,480,starpu,ws,.1
dgeqrf,14400,480,parsec,gd,.1
dgeqrf,12000,480,starpu,lws,.1
dgeqrf,2400,480,parsec,lfq,.1
dgeqrf,2400,480,starpu,ws,.1
dpotrf,4800,480,starpu,lws,.1
dgeqrf,4800,480,parsec,lfq,.1
dpotrf,19200,480,parsec,lfq,.1
dpotrf,9600,480,starpu,ws,.1
dgeqrf,9600,480,starpu,lws,.1
dpotrf,19200,480,starpu,lws,.1
dpotrf,4800,480,starpu,ws,.1
dpotrf,24000,480,starpu,lws,.1
dpotrf,7200,480,starpu,lws,.1
dpotrf,4800,480,parsec,gd,.1
dgeqrf,4800,480,starpu,lws,.1
dgeqrf,4800,480,parsec,gd,.2
dpotrf,19200,480,starpu,ws,.2
dgeqrf,28800,480,starpu,lws,.2
dpotrf,7200,480,parsec,lfq,.2
dgeqrf,24000,480,parsec,gd,.2
dgeqrf,16800,480,parsec,gd,.2
dgeqrf,19200,480,starpu,ws,.2
dpotrf,14400,480,parsec,gd,.2
dpotrf,14400,480,starpu,ws,.2
dpotrf,24000,480,starpu,ws,.2
dpotrf,2400,480,starpu,lws,.2
dpotrf,7200,480,starpu,ws,.2
dgeqrf,7200,480,parsec,gd,.2
dgeqrf,26400,480,starpu,lws,.2
dgeqrf,26400,480,parsec,lfq,.2
dgeqrf,4800,480,starpu,ws,.2
dpotrf,16800,480,starpu,ws,.2
dpotrf,16800,480,parsec,lfq,.2
dgeqrf,26400,480,starpu,ws,.2
dpotrf,24000,480,parsec,lfq,.2
dpotrf,28800,480,parsec,lfq,.2
dpotrf,4800,480,parsec,lfq,.2
dgeqrf,24000,480,starpu,ws,.2
dpotrf,2400,480,parsec,lfq,.2
dgeqrf,14400,480,parsec,lfq,.2
dgeqrf,9600,480,parsec,lfq,.2
dpotrf,2400,480,parsec,gd,.2
dgeqrf,2400,480,parsec,lfq,.2
dpotrf,9600,480,starpu,lws,.2
dgeqrf,24000,480,starpu,lws,.2
dgeqrf,26400,480,parsec,gd,.2
dpotrf,4800,480,parsec,gd,.2
dpotrf,26400,480,parsec,gd,.2
dgeqrf,19200,480,starpu,lws,.2
dpotrf,24000,480,starpu,lws,.2
dgeqrf,14400,480,starpu,ws,.2
dgeqrf,2400,480,starpu,lws,.2
dgeqrf,28800,480,starpu,ws,.2
dpotrf,24000,480,parsec,gd,.2
dgeqrf,2400,480,parsec,gd,.2
dpotrf,28800,480,parsec,gd,.2
dpotrf,21600,480,starpu,ws,.2
dpotrf,16800,480,starpu,lws,.2
dgeqrf,2400,480,starpu,ws,.2
dgeqrf,12000,480,starpu,ws,.2
dgeqrf,28800,480,parsec,lfq,.2
dgeqrf,16800,480,parsec,lfq,.2
dpotrf,21600,480,starpu,lws,.2
dgeqrf,4800,480,parsec,lfq,.2
dpotrf,14400,480,starpu,lws,.2
dpotrf,9600,480,starpu,ws,.2
dgeqrf,19200,480,parsec,gd,.2
dpotrf,26400,480,starpu,ws,.2
dpotrf,26400,480,parsec,lfq,.2
dpotrf,28800,480,starpu,ws,.2
dpotrf,19200,480,parsec,lfq,.2
dgeqrf,21600,480,parsec,gd,.2
dpotrf,12000,480,starpu,lws,.2
dpotrf,12000,480,parsec,gd,.2
dgeqrf,21600,480,parsec,lfq,.2
dgeqrf,12000,480,starpu,lws,.2
dpotrf,19200,480,starpu,lws,.2
dgeqrf,9600,480,starpu,ws,.2
dgeqrf,14400,480,parsec,gd,.2
dpotrf,7200,480,starpu,lws,.2
dpotrf,16800,480,parsec,gd,.2
dgeqrf,14400,480,starpu,lws,.2
dgeqrf,16800,480,starpu,lws,.2
dgeqrf,16800,480,starpu,ws,.2
dgeqrf,7200,480,starpu,lws,.2
dpotrf,7200,480,parsec,gd,.2
dpotrf,9600,480,parsec,lfq,.2
dpotrf,12000,480,parsec,lfq,.2
dpotrf,21600,480,parsec,lfq,.2
dgeqrf,12000,480,parsec,lfq,.2
dpotrf,4800,480,starpu,lws,.2
dgeqrf,28800,480,parsec,gd,.2
dpotrf,4800,480,starpu,ws,.2
dgeqrf,12000,480,parsec,gd,.2
dpotrf,14400,480,parsec,lfq,.2
dgeqrf,19200,480,parsec,lfq,.2
dgeqrf,21600,480,starpu,ws,.2
dgeqrf,7200,480,starpu,ws,.2
dgeqrf,21600,480,starpu,lws,.2
dgeqrf,9600,480,starpu,lws,.2
dgeqrf,4800,480,starpu,lws,.2
dpotrf,21600,480,parsec,gd,.2
dpotrf,2400,480,starpu,ws,.2
dgeqrf,7200,480,parsec,lfq,.2
dpotrf,12000,480,starpu,ws,.2
dpotrf,9600,480,parsec,gd,.2
dgeqrf,24000,480,parsec,lfq,.2
dgeqrf,9600,480,parsec,gd,.2
dpotrf,28800,480,starpu,lws,.2
dpotrf,26400,480,starpu,lws,.2
dpotrf,19200,480,parsec,gd,.2
dpotrf,12000,480,parsec,lfq,.3
dgeqrf,19200,480,parsec,gd,.3
dpotrf,7200,480,parsec,lfq,.3
dgeqrf,16800,480,parsec,gd,.3
dgeqrf,2400,480,parsec,lfq,.3
dgeqrf,9600,480,parsec,gd,.3
dgeqrf,7200,480,starpu,ws,.3
dgeqrf,2400,480,starpu,lws,.3
dgeqrf,28800,480,parsec,lfq,.3
dgeqrf,7200,480,parsec,gd,.3
dgeqrf,14400,480,starpu,ws,.3
dgeqrf,19200,480,starpu,ws,.3
dpotrf,16800,480,starpu,ws,.3
dpotrf,28800,480,parsec,gd,.3
dgeqrf,9600,480,parsec,lfq,.3
dpotrf,28800,480,parsec,lfq,.3
dpotrf,2400,480,parsec,gd,.3
dpotrf,4800,480,starpu,ws,.3
dpotrf,21600,480,starpu,ws,.3
dpotrf,19200,480,starpu,lws,.3
dgeqrf,28800,480,parsec,gd,.3
dgeqrf,16800,480,starpu,ws,.3
dgeqrf,16800,480,parsec,lfq,.3
dgeqrf,7200,480,starpu,lws,.3
dgeqrf,4800,480,starpu,lws,.3
dpotrf,14400,480,starpu,ws,.3
dgeqrf,4800,480,parsec,gd,.3
dpotrf,2400,480,starpu,ws,.3
dpotrf,9600,480,starpu,ws,.3
dgeqrf,14400,480,parsec,gd,.3
dgeqrf,4800,480,starpu,ws,.3
dgeqrf,2400,480,parsec,gd,.3
dgeqrf,24000,480,starpu,lws,.3
dpotrf,7200,480,starpu,ws,.3
dgeqrf,21600,480,starpu,ws,.3
dgeqrf,14400,480,parsec,lfq,.3
dpotrf,16800,480,parsec,gd,.3
dpotrf,2400,480,starpu,lws,.3
dgeqrf,21600,480,parsec,lfq,.3
dgeqrf,16800,480,starpu,lws,.3
dgeqrf,24000,480,parsec,lfq,.3
dgeqrf,14400,480,starpu,lws,.3
dpotrf,19200,480,parsec,lfq,.3
dgeqrf,19200,480,starpu,lws,.3
dgeqrf,24000,480,starpu,ws,.3
dgeqrf,12000,480,starpu,lws,.3
dgeqrf,12000,480,starpu,ws,.3
dgeqrf,2400,480,starpu,ws,.3
dpotrf,12000,480,starpu,ws,.3
dpotrf,14400,480,parsec,gd,.3
dgeqrf,26400,480,starpu,lws,.3
dpotrf,26400,480,parsec,lfq,.3
dgeqrf,28800,480,starpu,lws,.3
dpotrf,24000,480,parsec,lfq,.3
dpotrf,7200,480,parsec,gd,.3
dgeqrf,26400,480,parsec,lfq,.3
dpotrf,21600,480,starpu,lws,.3
dgeqrf,21600,480,starpu,lws,.3
dgeqrf,28800,480,starpu,ws,.3
dgeqrf,9600,480,starpu,ws,.3
dgeqrf,9600,480,starpu,lws,.3
dpotrf,9600,480,starpu,lws,.3
dpotrf,9600,480,parsec,gd,.3
dpotrf,12000,480,starpu,lws,.3
dgeqrf,19200,480,parsec,lfq,.3
dpotrf,21600,480,parsec,gd,.3
dpotrf,7200,480,starpu,lws,.3
dgeqrf,7200,480,parsec,lfq,.3
dpotrf,14400,480,starpu,lws,.3
dgeqrf,12000,480,parsec,gd,.3
dpotrf,24000,480,starpu,ws,.3
dpotrf,4800,480,starpu,lws,.3
dpotrf,21600,480,parsec,lfq,.3
dpotrf,24000,480,parsec,gd,.3
dpotrf,4800,480,parsec,gd,.3
dgeqrf,4800,480,parsec,lfq,.3
dgeqrf,21600,480,parsec,gd,.3
dpotrf,19200,480,parsec,gd,.3
dpotrf,2400,480,parsec,lfq,.3
dgeqrf,12000,480,parsec,lfq,.3
dpotrf,16800,480,parsec,lfq,.3
dpotrf,14400,480,parsec,lfq,.3
dpotrf,26400,480,starpu,lws,.3
dpotrf,4800,480,parsec,lfq,.3
dpotrf,24000,480,starpu,lws,.3
dpotrf,26400,480,starpu,ws,.3
dpotrf,16800,480,starpu,lws,.3
dpotrf,12000,480,parsec,gd,.3
dpotrf,28800,480,starpu,ws,.3
dpotrf,9600,480,parsec,lfq,.3
dgeqrf,26400,480,parsec,gd,.3
dgeqrf,26400,480,starpu,ws,.3
dpotrf,28800,480,starpu,lws,.3
dpotrf,26400,480,parsec,gd,.3
dgeqrf,24000,480,parsec,gd,.3
dpotrf,19200,480,starpu,ws,.3
dgeqrf,4800,480,parsec,lfq,.4
dgeqrf,9600,480,parsec,gd,.4
dgeqrf,12000,480,starpu,ws,.4
dpotrf,26400,480,parsec,gd,.4
dpotrf,14400,480,starpu,ws,.4
dgeqrf,2400,480,parsec,gd,.4
dgeqrf,26400,480,parsec,lfq,.4
dgeqrf,14400,480,parsec,lfq,.4
dpotrf,19200,480,starpu,ws,.4
dpotrf,2400,480,parsec,lfq,.4
dgeqrf,16800,480,parsec,lfq,.4
dpotrf,12000,480,starpu,ws,.4
dgeqrf,24000,480,parsec,gd,.4
dpotrf,14400,480,starpu,lws,.4
dpotrf,16800,480,starpu,lws,.4
dgeqrf,2400,480,parsec,lfq,.4
dpotrf,21600,480,parsec,gd,.4
dgeqrf,19200,480,starpu,ws,.4
dgeqrf,26400,480,parsec,gd,.4
dgeqrf,24000,480,parsec,lfq,.4
dgeqrf,9600,480,parsec,lfq,.4
dpotrf,2400,480,starpu,ws,.4
dgeqrf,16800,480,starpu,ws,.4
dpotrf,2400,480,parsec,gd,.4
dpotrf,26400,480,starpu,ws,.4
dgeqrf,26400,480,starpu,lws,.4
dpotrf,4800,480,starpu,lws,.4
dpotrf,4800,480,parsec,lfq,.4
dpotrf,24000,480,starpu,lws,.4
dpotrf,16800,480,parsec,gd,.4
dgeqrf,28800,480,parsec,gd,.4
dgeqrf,4800,480,starpu,lws,.4
dgeqrf,12000,480,parsec,gd,.4
dpotrf,28800,480,parsec,gd,.4
dpotrf,2400,480,starpu,lws,.4
dpotrf,9600,480,parsec,gd,.4
dpotrf,7200,480,parsec,lfq,.4
dpotrf,7200,480,starpu,lws,.4
dgeqrf,21600,480,starpu,ws,.4
dgeqrf,24000,480,starpu,ws,.4
dgeqrf,14400,480,parsec,gd,.4
dpotrf,28800,480,starpu,lws,.4
dpotrf,7200,480,starpu,ws,.4
dpotrf,19200,480,parsec,lfq,.4
dgeqrf,4800,480,parsec,gd,.4
dgeqrf,14400,480,starpu,ws,.4
dpotrf,12000,480,starpu,lws,.4
dgeqrf,21600,480,parsec,lfq,.4
dpotrf,19200,480,parsec,gd,.4
dgeqrf,24000,480,starpu,lws,.4
dpotrf,28800,480,parsec,lfq,.4
dpotrf,21600,480,starpu,ws,.4
dgeqrf,26400,480,starpu,ws,.4
dpotrf,7200,480,parsec,gd,.4
dgeqrf,21600,480,starpu,lws,.4
dgeqrf,19200,480,parsec,gd,.4
dgeqrf,7200,480,parsec,lfq,.4
dpotrf,4800,480,starpu,ws,.4
dpotrf,26400,480,parsec,lfq,.4
dgeqrf,9600,480,starpu,ws,.4
dpotrf,9600,480,starpu,ws,.4
dpotrf,21600,480,starpu,lws,.4
dpotrf,4800,480,parsec,gd,.4
dpotrf,12000,480,parsec,gd,.4
dpotrf,26400,480,starpu,lws,.4
dpotrf,16800,480,starpu,ws,.4
dpotrf,19200,480,starpu,lws,.4
dpotrf,24000,480,starpu,ws,.4
dgeqrf,4800,480,starpu,ws,.4
dpotrf,14400,480,parsec,lfq,.4
dgeqrf,28800,480,starpu,lws,.4
dgeqrf,16800,480,starpu,lws,.4
dpotrf,9600,480,starpu,lws,.4
dgeqrf,19200,480,parsec,lfq,.4
dgeqrf,7200,480,starpu,ws,.4
dgeqrf,12000,480,parsec,lfq,.4
dgeqrf,7200,480,starpu,lws,.4
dgeqrf,2400,480,starpu,lws,.4
dgeqrf,16800,480,parsec,gd,.4
dgeqrf,28800,480,starpu,ws,.4
dpotrf,9600,480,parsec,lfq,.4
dgeqrf,7200,480,parsec,gd,.4
dgeqrf,28800,480,parsec,lfq,.4
dgeqrf,19200,480,starpu,lws,.4
dgeqrf,12000,480,starpu,lws,.4
dgeqrf,9600,480,starpu,lws,.4
dpotrf,16800,480,parsec,lfq,.4
dpotrf,24000,480,parsec,lfq,.4
dpotrf,24000,480,parsec,gd,.4
dpotrf,14400,480,parsec,gd,.4
dpotrf,21600,480,parsec,lfq,.4
dgeqrf,14400,480,starpu,lws,.4
dpotrf,28800,480,starpu,ws,.4
dgeqrf,2400,480,starpu,ws,.4
dpotrf,12000,480,parsec,lfq,.4
dgeqrf,21600,480,parsec,gd,.4
dgeqrf,24000,480,starpu,lws,.5
dpotrf,9600,480,parsec,lfq,.5
dgeqrf,9600,480,parsec,lfq,.5
dpotrf,9600,480,parsec,gd,.5
dpotrf,7200,480,starpu,ws,.5
dgeqrf,2400,480,starpu,lws,.5
dpotrf,2400,480,starpu,lws,.5
dgeqrf,14400,480,parsec,lfq,.5
dpotrf,26400,480,parsec,lfq,.5
dgeqrf,12000,480,parsec,lfq,.5
dgeqrf,19200,480,starpu,ws,.5
dpotrf,16800,480,starpu,lws,.5
dpotrf,2400,480,starpu,ws,.5
dgeqrf,4800,480,starpu,lws,.5
dgeqrf,21600,480,starpu,ws,.5
dpotrf,7200,480,starpu,lws,.5
dgeqrf,4800,480,parsec,lfq,.5
dpotrf,21600,480,parsec,lfq,.5
dgeqrf,16800,480,starpu,ws,.5
dpotrf,16800,480,parsec,gd,.5
dgeqrf,9600,480,starpu,lws,.5
dpotrf,2400,480,parsec,lfq,.5
dgeqrf,28800,480,starpu,ws,.5
dpotrf,28800,480,starpu,ws,.5
dpotrf,4800,480,parsec,gd,.5
dpotrf,4800,480,parsec,lfq,.5
dgeqrf,26400,480,starpu,ws,.5
dpotrf,14400,480,starpu,lws,.5
dgeqrf,4800,480,parsec,gd,.5
dpotrf,16800,480,parsec,lfq,.5
dgeqrf,19200,480,parsec,lfq,.5
dgeqrf,14400,480,starpu,lws,.5
dpotrf,4800,480,starpu,lws,.5
dgeqrf,2400,480,starpu,ws,.5
dgeqrf,2400,480,parsec,lfq,.5
dgeqrf,16800,480,starpu,lws,.5
dpotrf,7200,480,parsec,gd,.5
dpotrf,9600,480,starpu,ws,.5
dpotrf,28800,480,parsec,gd,.5
dpotrf,2400,480,parsec,gd,.5
dgeqrf,26400,480,parsec,gd,.5
dgeqrf,12000,480,starpu,ws,.5
dgeqrf,7200,480,starpu,ws,.5
dpotrf,19200,480,parsec,lfq,.5
dpotrf,26400,480,starpu,ws,.5
dgeqrf,2400,480,parsec,gd,.5
dpotrf,9600,480,starpu,lws,.5
dpotrf,28800,480,parsec,lfq,.5
dpotrf,4800,480,starpu,ws,.5
dpotrf,24000,480,starpu,ws,.5
dpotrf,12000,480,starpu,lws,.5
dgeqrf,24000,480,parsec,lfq,.5
dgeqrf,26400,480,starpu,lws,.5
dgeqrf,7200,480,starpu,lws,.5
dgeqrf,28800,480,parsec,lfq,.5
dgeqrf,7200,480,parsec,lfq,.5
dgeqrf,12000,480,starpu,lws,.5
dpotrf,21600,480,starpu,ws,.5
dgeqrf,21600,480,parsec,gd,.5
dpotrf,12000,480,parsec,lfq,.5
dpotrf,21600,480,starpu,lws,.5
dpotrf,21600,480,parsec,gd,.5
dpotrf,7200,480,parsec,lfq,.5
dpotrf,24000,480,parsec,gd,.5
dgeqrf,9600,480,starpu,ws,.5
dpotrf,19200,480,starpu,lws,.5
dpotrf,14400,480,parsec,gd,.5
dpotrf,26400,480,parsec,gd,.5
dpotrf,12000,480,parsec,gd,.5
dpotrf,28800,480,starpu,lws,.5
dpotrf,16800,480,starpu,ws,.5
dpotrf,24000,480,starpu,lws,.5
dgeqrf,28800,480,parsec,gd,.5
dgeqrf,24000,480,parsec,gd,.5
dgeqrf,21600,480,parsec,lfq,.5
dpotrf,19200,480,starpu,ws,.5
dpotrf,14400,480,parsec,lfq,.5
dpotrf,24000,480,parsec,lfq,.5
dpotrf,14400,480,starpu,ws,.5
dgeqrf,24000,480,starpu,ws,.5
dgeqrf,14400,480,parsec,gd,.5
dgeqrf,28800,480,starpu,lws,.5
dgeqrf,21600,480,starpu,lws,.5
dpotrf,12000,480,starpu,ws,.5
dpotrf,19200,480,parsec,gd,.5
dgeqrf,14400,480,starpu,ws,.5
dpotrf,26400,480,starpu,lws,.5
dgeqrf,16800,480,parsec,gd,.5
dgeqrf,9600,480,parsec,gd,.5
dgeqrf,19200,480,starpu,lws,.5
dgeqrf,4800,480,starpu,ws,.5
dgeqrf,12000,480,parsec,gd,.5
dgeqrf,16800,480,parsec,lfq,.5
dgeqrf,19200,480,parsec,gd,.5
dgeqrf,26400,480,parsec,lfq,.5
dgeqrf,7200,480,parsec,gd,.5
